Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
Präzisionsrohr,EN 10220,nahtlos,1 - 50.000 (ohne Nachkommastelle), 1/4,"0,01 … 500,00",5,"0,01 … 50.000,00","0,01 … 50.000,00",I-Naht Kennzahl 1,sauber,+A weichgeglüht (G),1.0035,St33 / S185,Grade Type A,Firmodur 1172,K01200,WCC,A179,ABS (American Bureau of Shipping),Abchasien
Rundrohr,API 5L,geschweißt,, 3/8,,10,,,V-Naht Kennzahl 21,zugblank,+AC geglüht zur Erzielung kugeliger Karbide (GKZ),1.0038,RSt37-2 / S235JR,Grade A,Firmodur 1180,K01700,CF8,A1000,Achilles JQS,Afghanistan
Geländerrohr,ASME B36.10,HF geschweißt,, 1/2,,10S,,,V-Naht Kennzahl 22,verzundert,+AT lösungsgeglüht,1.0039,St37-2 / S235JRH,Type A,Firmodur 1181,K02001,CF8/CF3,A105,ADMA-OPCO (Abu Dhabi Marine Operation Company),Ägypten
Siederohr,ASME B36.19,geschmiedet ,, 3/4,,20,,,U-Naht Kennzahl 3,gebeizt,+C kaltverfestigt (K),1.0044,St44-2 / S275JR,A,Firmodur 1191,G10150,CPF3,A106,ADNOC (Abu Dhabi National Oil Company),Albanien
Gewinderohr,EN 10225,,,1    ,,30,,,U-Naht Kennzahl 4,geschliffen,+Cnnn kaltverfestigt auf eine Mindestzugfestigkeit von nnn N/mm²,1.0045,S355JR,Grade Type 1010,Firmodur 1192,G10230,CF3,A108,API Monogram 6A,Algerien
Kesselrohr,DIN 246127,,,1 1/4,,Std,,,ASME B16.25 ohne Schweißfase,teilgeschliffen,+CR kaltgewalzt,1.0050,St50-2 / E295,Grade 1010,Firmodur 1201,G10220,CF8C,A109,API Monogram 6D,Andorra
Wärmetauscherrohr,DIN 19535,,,1 1/2,,Std/40,,,ASME B16.25 Fig. 1,poliert,+HC warm-kalt-verformt,1.0060,St60-2 / E335,Type 1010,Firmodur 1213,G10200,CF8A,A114,API Monogram 6DSS,Angola
Ofenrohr,DIN 24145,,,2    ,,Std/20,,,ASME B16.25 Fig. 2a,blank,+LC leicht kaltnachgezogen bzw. leicht nachgewalzt,1.0070,St70-2 / E360,1010,Durapur 1219,G10250 ,CPF8C,A128,ASME U-Stamp,Antigua
Konstruktionsrohr,DIN 2463,,,2 1/2,,Std/30,,,ASME B16.25 Fig. 2b,blank geglüht,+TM thermomechanisch behandelt (TM),1.0114,St37-3U / S235J0,Grade Type 1018,Cryodur 1520,G102500,CPF8A,A131,AVS D 100/50,Barbuda
Leitungsrohr,EN 1057,,,3    ,,40,,,ASME B16.25 Fig. 2c,geschält,+N normalisiert bzw. normalisierend gewalzt,1.0116,St37-3N / S235J2,Grade 1018,Extra NR. 45,G10170,CF10,A135,BP (Britsh Petroleum),Äquatorialguinea
